Estacao	Data	Hora	TempBulboSeco	TempBulboUmido	UmidadeRelativa	PressaoAtmEstacao	DirecaoVento	VelocidadeVento	Nebulosidade
83513	05/05/1993	1800	18.4	16.5	81	sv	18	2	10
83513	06/05/1993	0	17.2	16.1	89	sv	18	1	2
83513	06/05/1993	1200	18.2	17.5	93	sv	36	2	10
83513	06/05/1993	1800	27.2	23.7	73	sv	36	2	4
83513	07/05/1993	0	23	22.3	94	sv	0	0	0
83513	07/05/1993	1200	23.8	23.1	94	sv	9	1	4
83513	07/05/1993	1800	31.7	27.5	71	sv	36	2	6
83513	08/05/1993	0	26.4	23.5	77	sv	0	0	6
83513	08/05/1993	1200	25.4	24.9	96	sv	0	0	0
83513	08/05/1993	1800	34.7	28.1	59	sv	36	2	0
83513	09/05/1993	0	27	26.1	93	sv	0	0	0
83513	09/05/1993	1200	26.4	24.7	86	sv	36	1	8
83513	09/05/1993	1800	33.7	28.7	68	sv	36	3	2
83513	10/05/1993	0	27.2	26.3	93	sv	0	0	0
83513	10/05/1993	1200	25.6	24.3	89	sv	0	0	0
83513	10/05/1993	1800	33.3	28.1	66	sv	36	1	2
83513	11/05/1993	0	26.2	25.1	91	sv	0	0	0
83513	11/05/1993	1200	26.2	24.1	83	sv	36	1	4
83513	11/05/1993	1800	31.7	27.5	71	sv	36	2	8
83513	12/05/1993	0	25.4	24.5	93	sv	0	0	0
83513	12/05/1993	1200	25.2	24.3	92	sv	36	1	6
83513	12/05/1993	1800	31.5	27.2	71	sv	36	4	6
83513	13/05/1993	0	26.2	24.9	89	sv	0	0	0
83513	13/05/1993	1200	26.8	24.9	85	sv	36	2	2
83513	13/05/1993	1800	32.3	27.3	67	sv	36	4	4
83513	14/05/1993	0	27	25.1	85	sv	36	1	4
83513	14/05/1993	1200	17.2	16.7	95	sv	18	4	10
83513	14/05/1993	1800	27.6	16.5	27	sv	18	5	10
83513	15/05/1993	0	14.8	14.2	93	sv	18	2	10
83513	15/05/1993	1200	14.8	14.2	93	sv	18	2	10
83513	15/05/1993	1800	18	14.9	70	sv	18	1	10
83513	16/05/1993	0	14	13.8	98	sv	0	0	0
83513	16/05/1993	1200	17.6	15.3	77	sv	0	0	0
83513	16/05/1993	1800	23.2	18.7	63	sv	0	0	0
83513	17/05/1993	0	14	13.4	93	sv	0	0	0
83513	17/05/1993	1200	13.8	13.6	98	sv	0	0	0
83513	17/05/1993	1800	27.2	21.9	61	sv	0	0	0
83513	18/05/1993	0	19.4	18.3	89	sv	0	0	0
83513	18/05/1993	1200	17.8	16.7	89	sv	14	1	2
83513	18/05/1993	1800	29.1	23.1	58	sv	36	2	2
83513	19/05/1993	0	19.7	19.1	94	sv	0	0	0
83513	19/05/1993	1200	22.2	21.3	92	sv	36	5	0
83513	19/05/1993	1800	32.1	25.7	58	sv	36	1	2
83513	20/05/1993	0	22.4	21.7	94	sv	0	0	0
83513	20/05/1993	1200	24.2	21.9	81	sv	5	1	0
83513	20/05/1993	1800	32.5	26.3	60	sv	36	2	2
83513	21/05/1993	0	23.4	22.3	90	sv	0	0	0
83513	21/05/1993	1200	21.8	19.3	78	sv	5	1	0
83513	21/05/1993	1800	30.5	23.7	55	sv	36	1	0
83513	22/05/1993	0	19.2	18.7	95	sv	0	0	0
83513	22/05/1993	1200	15.2	14.9	97	sv	0	0	0
83513	22/05/1993	1800	29.9	23.1	54	sv	36	2	0
83513	23/05/1993	0	18.2	17.7	95	sv	0	0	0
83513	23/05/1993	1200	20.2	17.3	74	sv	36	1	0
83513	23/05/1993	1800	31.1	22.9	47	sv	36	1	0
83513	24/05/1993	0	19.2	18.5	93	sv	0	0	0
83513	24/05/1993	1200	20.4	18.1	79	sv	36	1	0
83513	24/05/1993	1800	31.1	22.5	45	sv	32	2	0
83513	25/05/1993	0	20.8	20.3	95	sv	0	0	2
83513	25/05/1993	1200	22	18.9	73	sv	5	1	2
83513	25/05/1993	1800	30.3	23.7	56	sv	0	0	2
83513	26/05/1993	0	20.6	19.3	88	sv	18	2	0
83513	26/05/1993	1200	15.8	15.1	92	sv	23	3	10
83513	26/05/1993	1800	19.6	17.7	82	sv	18	2	6
